"Title";"Author Keywords";"Abstract";"doi link";"Authors";"Author Full Names";"Publication Year";"Source Title";"reactor";"substrate origin";"substrate type";"substrate pretreatment";"substrate category";"size";"article type";"substrate";"Substrate category(L,FW,S,O)";"solid?";"info";"reactor type";"reactor subtype";"reactor detail";"reactor subdetail"
"The effects of Microalgae Biomass Co-Substrate on Biogas Production from the Common Agricultural Biogas Plants Feedstock";"microalgae; anaerobic digestion; biogas; respirometric REACTORs";"The aim of this study was to determine the effects on methane production of the addition of microalgae biomass of Arthrospira platensis and Platymonas subcordiformis to the common feedstock used in agricultural biogas plants (cattle manure, maize silage). Anaerobic biodegradability tests were carried out using respirometric REACTORs operated at an initial organic loading rate of 5.0 kg volatile solids (VS)/m(3), temperature of 35 degrees C, and a retention time of 20 days. A systematic increase in the biogas production efficiency was found, where the ratio of microalgae biomass in the feedstock increased from 0% to 40% (%VS). Higher microalgae biomass ratio did not have a significant impact on improving the efficiency of biogas production, and the biogas production remained at a level comparable with 40% share of microalgae biomass in the feedstock. This was probably related to the carbon to nitrogen (C/N) ratio decrease in the mixture of substrates. The use of Platymonas subcordiformis ensured higher biogas production, with the maximum value of 1058.8 +/- 25.2 L/kg VS. The highest content of methane, at an average concentration of 65.6% in the biogas produced, was observed in setups with Arthrospira plantensis biomass added at a concentration of between 20%-40% to the feedstock mixture.";"http://dx.doi.org/10.3390/en13092186";"Debowski, M; Kisielewska, M; Kazimierowicz, J; Rudnicka, A; Dudek, M; Romanowska-Duda, Z; Zielinski, M";"Debowski, Marcin; Kisielewska, Marta; Kazimierowicz, Joanna; Rudnicka, Aleksandra; Dudek, Magda; Romanowska-Duda, Zdzislawa; Zielinski, Marcin";2020;"ENERGIES";"batch";"algae,cow manure,corn sillage";;;"codigestion";"lab";;"microalgae+cattle manure+corn sillage";"l+l+l";;;"batch";;;
"Textile biological sludge treatability and biogas production in UASB REACTOR under different temperatures";"textile sludge; anaerobic digestion; UASB REACTOR; biogas";"The aim of this work was to evaluate the behavior of a laboratory-scale UASB REACTOR (16 L) in the treatment of textile biological sludge with biogas production, operating at different temperatures - 35 (mesophilic), 45 and 55 degrees C (thermophilic) -, with constant hydraulic retention time of 24 h. The UASB REACTOR was able to treat the textile sludge, being positively influenced by increasing temperature, with greater removals in thermophilic temperatures and high removal rates of all monitored physical and chemical parameters, chemical oxygen demand (COD) (97% at 45 and 55 degrees C), biochemical oxygen demand (BOD) (95% at 45 degrees C and 94% at 55 degrees C), total phosphorus (P-total) (95% at 45 and 55 degrees C) and total nitrogen (N-total) (94% at 45 and 55 degrees C). As for biogas production and methane concentration, the highest values were observed at 45 degrees C. Based on the results, textile sludge treatability and biogas production in UASB are confirmed, with best performance at 45 degrees C.";"http://dx.doi.org/10.1590/S1413-41522018145106";"Schultz, J; Pinheiro, A; da Silva, JD";"Schultz, Junia; Pinheiro, Adilson; da Silva, Joel Dias";2018;"ENGENHARIA SANITARIA E AMBIENTAL";"high rate(UASB)";"textile";;;"industrial wastewater";"lab";;"textile sludge";"s";;;"high rate";"UASB";;
"Biogas production experimental research using algae";"Biogas; Methane; Algae; Batch REACTOR; Anaerobic digestion";"The current study is on the the use of macro-algae as feedstock for biogas production. Three types of macro-algae, Cladophora glomerata (CG), Chara fragilis (CF), and Spirogyra neglecta (SN), were chosen for this research. The experimental studies on biogas production were carried out with these algae in a batch bioREACTOR. In the bioREACTOR was maintained 35 +/- 1 degrees C temperature. The results showed that the most appropriate macro-algae for biogas production are Spirogyra neglecta (SN) and Cladophora glomerata (CG). The average amount of biogas obtained from the processing of SN - 0.23 m(3)/m(3)d, CG - 0.20 m(3)/m(3)d, and CF - 0.12 m(3)/m(3)d. Considering the concentration of methane obtained during the processing of SN and CG, which after eight days and until the end of the experiment exceeded 60%, it can be claimed that biogas produced using these algae is valuable. When processing CF, the concentration of methane reached the level of 50% only by the final day of the experiment, which indicates that this alga is less suitable for biogas production.";"http://dx.doi.org/10.1186/s40201-015-0169-z";"Baltrenas, P; Misevicius, A";"Baltrenas, Pranas; Misevicius, Antonas";2015;"JOURNAL OF ENVIRONMENTAL HEALTH SCIENCE AND ENGINEERING";"batch";"cladophora";;;"algae";"lab";;"cladophora";"l";;;"batch";;;
"Biogas production experimental research using algae";"Biogas; Methane; Algae; Batch REACTOR; Anaerobic digestion";"The current study is on the the use of macro-algae as feedstock for biogas production. Three types of macro-algae, Cladophora glomerata (CG), Chara fragilis (CF), and Spirogyra neglecta (SN), were chosen for this research. The experimental studies on biogas production were carried out with these algae in a batch bioREACTOR. In the bioREACTOR was maintained 35 +/- 1 degrees C temperature. The results showed that the most appropriate macro-algae for biogas production are Spirogyra neglecta (SN) and Cladophora glomerata (CG). The average amount of biogas obtained from the processing of SN - 0.23 m(3)/m(3)d, CG - 0.20 m(3)/m(3)d, and CF - 0.12 m(3)/m(3)d. Considering the concentration of methane obtained during the processing of SN and CG, which after eight days and until the end of the experiment exceeded 60%, it can be claimed that biogas produced using these algae is valuable. When processing CF, the concentration of methane reached the level of 50% only by the final day of the experiment, which indicates that this alga is less suitable for biogas production.";"http://dx.doi.org/10.1186/s40201-015-0169-z";"Baltrenas, P; Misevicius, A";"Baltrenas, Pranas; Misevicius, Antonas";2015;"JOURNAL OF ENVIRONMENTAL HEALTH SCIENCE AND ENGINEERING";"batch";"chara";;;"algae";"lab";;"chara";"l";;;"batch";;;
"Biogas production experimental research using algae";"Biogas; Methane; Algae; Batch REACTOR; Anaerobic digestion";"The current study is on the the use of macro-algae as feedstock for biogas production. Three types of macro-algae, Cladophora glomerata (CG), Chara fragilis (CF), and Spirogyra neglecta (SN), were chosen for this research. The experimental studies on biogas production were carried out with these algae in a batch bioREACTOR. In the bioREACTOR was maintained 35 +/- 1 degrees C temperature. The results showed that the most appropriate macro-algae for biogas production are Spirogyra neglecta (SN) and Cladophora glomerata (CG). The average amount of biogas obtained from the processing of SN - 0.23 m(3)/m(3)d, CG - 0.20 m(3)/m(3)d, and CF - 0.12 m(3)/m(3)d. Considering the concentration of methane obtained during the processing of SN and CG, which after eight days and until the end of the experiment exceeded 60%, it can be claimed that biogas produced using these algae is valuable. When processing CF, the concentration of methane reached the level of 50% only by the final day of the experiment, which indicates that this alga is less suitable for biogas production.";"http://dx.doi.org/10.1186/s40201-015-0169-z";"Baltrenas, P; Misevicius, A";"Baltrenas, Pranas; Misevicius, Antonas";2015;"JOURNAL OF ENVIRONMENTAL HEALTH SCIENCE AND ENGINEERING";"batch";"spirogyra";;;"algae";"lab";;"spirogyra";"l";;;"batch";;;
"Anaerobic digestion of macroalgae: methane potentials, pre-treatment, inhibition and co-digestion";"anaerobic digestion; biogas REACTORs; macroalgae; U. lactuca";"In the present study we tested four macroalgae species - harvested in Denmark - for their suitability of bioconversion to methane. In batch experiments (53 degrees C) methane yields varied from 132 ml g volatile solids(-1) (VS) for Gracillaria vermiculophylla, 152 ml g VS-1 for Ulva lactuca, 166 ml g VS-1 for Chaetomorpha linum and 340 ml g VS-1 for Saccharina latissima following 34 days of incubation. With an organic content of 21.1% (1.5-2.8 times higher than the other algae) S. latissima seems very suitable for anaerobic digestion. However, the methane yields of U. lactuca, G. vermiculophylla and C. linum could be increased with 68%, 11% and 17%, respectively, by pretreatment with maceration. U. lactuca is often observed during 'green tides' in Europe and has a high cultivation potential at Nordic conditions. Therefore, U. lactuca was selected for further investigation and co-digested with cattle manure in a lab-scale continuously stirred tank REACTOR. A 48% increase in methane production rate of the REACTOR was observed when the concentration of U. lactuca in the feedstock was 40% (VS basis). Increasing the concentration to 50% had no further effect on the methane production, which limits the application of this algae at Danish centralized biogas plant.";"http://dx.doi.org/10.2166/wst.2011.654";"Nielsen, HB; Heiske, S";"Nielsen, H. B.; Heiske, S.";2011;"WATER SCIENCE AND TECHNOLOGY";"cstr";;;;"algae";"lab";;"Gracillaria";"l";;;"cstr";;;
"Anaerobic digestion of macroalgae: methane potentials, pre-treatment, inhibition and co-digestion";"anaerobic digestion; biogas REACTORs; macroalgae; U. lactuca";"In the present study we tested four macroalgae species - harvested in Denmark - for their suitability of bioconversion to methane. In batch experiments (53 degrees C) methane yields varied from 132 ml g volatile solids(-1) (VS) for Gracillaria vermiculophylla, 152 ml g VS-1 for Ulva lactuca, 166 ml g VS-1 for Chaetomorpha linum and 340 ml g VS-1 for Saccharina latissima following 34 days of incubation. With an organic content of 21.1% (1.5-2.8 times higher than the other algae) S. latissima seems very suitable for anaerobic digestion. However, the methane yields of U. lactuca, G. vermiculophylla and C. linum could be increased with 68%, 11% and 17%, respectively, by pretreatment with maceration. U. lactuca is often observed during 'green tides' in Europe and has a high cultivation potential at Nordic conditions. Therefore, U. lactuca was selected for further investigation and co-digested with cattle manure in a lab-scale continuously stirred tank REACTOR. A 48% increase in methane production rate of the REACTOR was observed when the concentration of U. lactuca in the feedstock was 40% (VS basis). Increasing the concentration to 50% had no further effect on the methane production, which limits the application of this algae at Danish centralized biogas plant.";"http://dx.doi.org/10.2166/wst.2011.654";"Nielsen, HB; Heiske, S";"Nielsen, H. B.; Heiske, S.";2011;"WATER SCIENCE AND TECHNOLOGY";"cstr";;;;"algae";"lab";;"Ulva";"l";;;"cstr";;;
"Anaerobic digestion of macroalgae: methane potentials, pre-treatment, inhibition and co-digestion";"anaerobic digestion; biogas REACTORs; macroalgae; U. lactuca";"In the present study we tested four macroalgae species - harvested in Denmark - for their suitability of bioconversion to methane. In batch experiments (53 degrees C) methane yields varied from 132 ml g volatile solids(-1) (VS) for Gracillaria vermiculophylla, 152 ml g VS-1 for Ulva lactuca, 166 ml g VS-1 for Chaetomorpha linum and 340 ml g VS-1 for Saccharina latissima following 34 days of incubation. With an organic content of 21.1% (1.5-2.8 times higher than the other algae) S. latissima seems very suitable for anaerobic digestion. However, the methane yields of U. lactuca, G. vermiculophylla and C. linum could be increased with 68%, 11% and 17%, respectively, by pretreatment with maceration. U. lactuca is often observed during 'green tides' in Europe and has a high cultivation potential at Nordic conditions. Therefore, U. lactuca was selected for further investigation and co-digested with cattle manure in a lab-scale continuously stirred tank REACTOR. A 48% increase in methane production rate of the REACTOR was observed when the concentration of U. lactuca in the feedstock was 40% (VS basis). Increasing the concentration to 50% had no further effect on the methane production, which limits the application of this algae at Danish centralized biogas plant.";"http://dx.doi.org/10.2166/wst.2011.654";"Nielsen, HB; Heiske, S";"Nielsen, H. B.; Heiske, S.";2011;"WATER SCIENCE AND TECHNOLOGY";"cstr";;;;"algae";"lab";;"Chaetomorpha";"l";;;"cstr";;;
"Anaerobic digestion of macroalgae: methane potentials, pre-treatment, inhibition and co-digestion";"anaerobic digestion; biogas REACTORs; macroalgae; U. lactuca";"In the present study we tested four macroalgae species - harvested in Denmark - for their suitability of bioconversion to methane. In batch experiments (53 degrees C) methane yields varied from 132 ml g volatile solids(-1) (VS) for Gracillaria vermiculophylla, 152 ml g VS-1 for Ulva lactuca, 166 ml g VS-1 for Chaetomorpha linum and 340 ml g VS-1 for Saccharina latissima following 34 days of incubation. With an organic content of 21.1% (1.5-2.8 times higher than the other algae) S. latissima seems very suitable for anaerobic digestion. However, the methane yields of U. lactuca, G. vermiculophylla and C. linum could be increased with 68%, 11% and 17%, respectively, by pretreatment with maceration. U. lactuca is often observed during 'green tides' in Europe and has a high cultivation potential at Nordic conditions. Therefore, U. lactuca was selected for further investigation and co-digested with cattle manure in a lab-scale continuously stirred tank REACTOR. A 48% increase in methane production rate of the REACTOR was observed when the concentration of U. lactuca in the feedstock was 40% (VS basis). Increasing the concentration to 50% had no further effect on the methane production, which limits the application of this algae at Danish centralized biogas plant.";"http://dx.doi.org/10.2166/wst.2011.654";"Nielsen, HB; Heiske, S";"Nielsen, H. B.; Heiske, S.";2011;"WATER SCIENCE AND TECHNOLOGY";"cstr";;;;"algae";"lab";;"Saccharina";"l";;;"cstr";;;
"Effect of NH3 and organic loading on the inhibition of mesophilic high-solid digestion";"anaerobic digestion; biogas; process optimization; REACTOR design";"BACKGROUND The construction of small digesters will become more important for regions with demographic increase and limited areas. Savings of digester volume and a subsequently smaller footprint can be realized by the treatment of a more thickened raw sludge (high-solid digestion). However, this operation can lead to instabilities of the anaerobic process due to rising ammonium and ammonia levels. The aim of the study was to identify the limit of saving digester volume by increasing the total suspended solids (TSS) of the treated raw sludge. RESULTS The effects of high TSS and ammonia levels in the digested sludge were investigated in lab-scale REACTORs. Ammonium nitrogen (NH4-N) levels were set by dosing a urea solution as well as by feeding a higher concentrated raw sludge. Chemical oxygen demand (COD) removal declined from 64 to 54% with NH4-N levels rising from 2000 to 3200 mg L-1. However, the anaerobic biodegradation was not completely interrupted, which indicates the possible adaptation of anaerobic bacteria on high NH4-N levels. CONCLUSION From the results, it can be concluded that dewatering the raw sludge up to 7% TSS leads to an optimum benefit with maximum savings in digester volume. The benefits of the operation with high solids are a lower energy demand for heating up the raw sludge and reduced construction costs (-20%) due to smaller required digester volumes. (c) 2019 The Authors. Journal of Chemical Technology & Biotechnology published by John Wiley & Sons Ltd on behalf of Society of Chemical Industry.";"http://dx.doi.org/10.1002/jctb.6252";"Jahn, L; Baumgartner, T; Krampe, J; Svardal, K";"Jahn, Lydia; Baumgartner, Thomas; Krampe, Joerg; Svardal, Karl";2020;"JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY";"batch";"thickened raw sludge";;;"activated sludge";"lab";;"thickened raw sludge";"s";;;"batch";;;
